title,wikidata,author,language,country,published,pages,publisher,editor,isbn13,isbn10,oclc
Y Canu Gofyn a Diolch,Q20587378,Q20560688,Q9309,Q25,,288,Q7896557,,978-0-7083-1432-6,,
Eneidiau,Q20593670,Q14508446,Q9309,Q25,,336,Q3405970,,978-1-84527-448-1,,
Branwen Uerch Llyr (llyfr),Q20583798,,Q1860,,1986,130,,,978-0-00-067050-2,,
Breudwyt Ronabwy (llyfr),Q20583895,,Q9309,Q25,1948,144,,Q18535894,978-0-7083-2618-3,,
Canu Llywarch Hen (llyfr),Q20587395,,Q9309,Q25,1935,358,,Q1974074,978-0-7083-1609-2,,
Canys Bechan yw - Y Genedl Etholedig yn ein Llenyddiaeth,Q20587447,,Q9309,Q25,1994-01-01,20,Q319761,,978-0-903878-39-5,,
Capel a Chomin,Q20587456,,Q9309,Q25,1989-01-01,176,Q7896557,,978-0-7083-1041-0,,
Castell yr Iechyd (llyfr),Q20590038,Q3404550,Q9309,Q25,1969-01-01,232,Q7896557,,978-0-900768-44-6,,
Hanes ein Llên,Q20600307,Q1041289,Q9309,Q25,1949-01-01,124,Q7896557,,978-0-7083-0385-6,,
Ceinciau'r Mabinogi,Q20590874,Q20796602,Q9309,Q25,,67,Q3042717,,978-0-00-077975-5,,
Cenedl o Bobl Ddewrion,Q20591641,,Q9309,Q25,1991-01-01,200,Q3042717,,978-0-86383-679-4,,
Cerdd Dafod (llyfr),Q18535502,Q6249473,Q9309,Q25,1925,430,Q217595,,978-0-7083-0722-9,,
Crefft y Llenor,Q20595642,Q13129333,Q9309,Q25,1977-12-01,86,Q13128815,,978-0-00-067120-2,,
Cenedlaetholdeb a'r Clasuron,Q20591666,Q6105857,Q9309,Q25,1997-07-01,16,Q1072029,,978-0-00-077299-2,,
Chwilio am Nodau'r Gân,Q20588907,,Q9309,Q25,,244,Q3042717,,978-0-86383-898-9,,
Ceredigion - 101 o'i Beirdd ac Emynwyr,Q20562929,,Q9309,Q25,2011-01-28,144,,,,,
Chwileniwm: Technoleg a Llenyddiaeth,Q20588898,,Q9309,Q25,2002-04-01,234,Q7896557,Q3405264,978-0-7083-1723-5,,
Crefft y Cyfarwydd,Q20595634,,Q9309,Q25,1996-02-01,272,Q7896557,,978-0-7083-1319-0,,
Cyfreithiau Hywel Dda yn ôl Llawysgrif Coleg yr Iesu LVII Rhydychen,Q20598747,,Q9309,Q25,1957,194,Q7896557,Q18535894,978-0-7083-1056-4,,
Cerddi Rhydd Iolo Morganwg,Q18535504,Q547716,Q9309,Q25,1981-01-01,187,Q7896557,,978-0-7083-0782-3,,
Meistri a'u Crefft,Q20568992,Q2420498,Q9309,Q25,1979-08-01,306,Q7896557,Q3402507,978-0-7083-0791-5,,
Dulliau'r Canu Rhydd 1500-1650,Q20592217,Q20796602,Q9309,Q25,1952-01-01,276,Q7896557,,978-0-7083-0233-0,,
Taliesin Hiraethog - Detholion o'i Weithiau,Q20599993,,Q9309,Q25,1950,85,Q7896557,Q13128283,978-0-7083-0399-3,,
Clywed Cynghanedd,Q20593350,Q14508658,Q9309,Q25,2013-03-28,192,Q3405970,,978-1-84527-450-4,,
Crefft y Gynghanedd,Q18535522,Q2830554,Q9309,Q25,2010-04-16,0,Q13127628,,978-1-906396-25-1,,
